英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）
reward her with praise	rɪˈwɔrd hɜr wɪð preɪz	彼女に賞賛で報いる	We should reward her with praise for her hard work.	He rewarded the dog with a treat.	reward: 報いる、褒美を与える。praise: 賞賛
carry out duties	ˈkæri aʊt ˈdutiz	義務（任務）を果たす	It is important to carry out duties properly.	He faithfully carried out his duties.	carry out: 実行する、果たす。duty: 義務、職務
distribute pamphlets	dɪˈstrɪbjut ˈpæmfləts	パンフレットを配布する	Please distribute pamphlets to the visitors.	They distributed pamphlets at the station.	distribute: 分配する、配布する
approve a proposal	əˈpruv ə prəˈpoʊzəl	提案を承認する	The board will approve a proposal.	The manager approved my proposal.	approve: 承認する、賛成する。proposal: 提案
calculate the expenses	ˈkælkjəˌleɪt ði ɪkˈspɛnsɪz	経費を計算する	I need to calculate the expenses for the trip.	The accountant calculated the monthly expenses.	calculate: 計算する
a clerk in a government office	ə klɜrk ɪn ə ˈgʌvərmənt ˈɔfəs	役所の事務員	He works as a clerk in a government office.	She is a clerk at the bank.	clerk: 事務員、店員。government office: 役所
create a new product	kriˈeɪt ə nu ˈprɑdəkt	新製品を生み出す（開発する）	The team aims to create a new product.	They created a new software product.	create: 創造する、生み出す
hire an employee	haɪr ən ɛmˈplɔɪi	従業員を雇う	We need to hire an employee for the new store.	The company hired 50 new employees.	hire: 雇う。employee: 従業員（雇い主は employer）
employ new technology	ɛmˈplɔɪ nu tɛkˈnɑlədʒi	新技術を採用する	We decided to employ new technology in production.	The factory employs advanced technology.	employ: 雇う、用いる（採用する）
make an effort to improve	meɪk ən ˈɛfərt tu ɪmˈpruv	改善するよう努力する	You must make an effort to improve your English.	She made a great effort to improve her skills.	make an effort: 努力する
find a new job	faɪnd ə nu dʒɑb	新しい仕事を見つける	It is difficult to find a new job right now.	He finally found a new job in Tokyo.	find: 見つける
consider an offer	kənˈsɪdər ən ˈɔfər	申し出（オファー）を検討する	I will consider an offer from the company.	Please consider our offer carefully.	consider: よく考える、検討する。offer: 申し出
make a steady profit	meɪk ə ˈstɛdi ˈprɑfət	安定した利益を出す	The business began to make a steady profit.	They are making a steady profit this year.	steady: 安定した、着実な。profit: 利益
send a prompt reply	sɛnd ə prɑmpt rɪˈplaɪ	迅速な返信を送る	Thank you for sending a prompt reply.	Please send a prompt reply to the client.	prompt: 迅速な、即座の
quality over quantity	ˈkwɑləti ˈoʊvər ˈkwɑntəti	量より質	Our company values quality over quantity.	Focus on quality over quantity in your work.	quality: 質。quantity: 量
suit his convenience	sut hɪz kənˈvinjəns	彼の都合に合わせる	We arranged the meeting to suit his convenience.	Does this time suit your convenience?	suit: （都合などに）合う。convenience: 都合、便利
compete against foreign companies	kəmˈpit əˈgɛnst ˈfɔrən ˈkʌmpəniz	外国企業と競争する	We have to compete against foreign companies.	They are competing against rival companies.	compete against (with): 〜と競争する
a strict requirement	ə strɪkt rɪˈkwaɪərmənt	厳しい要件（条件）	Passing the test is a strict requirement.	The university has a strict requirement for admission.	strict: 厳しい。requirement: 必要条件、要求
a logical decision	ə ˈlɑdʒɪkəl dɪˈsɪʒən	論理的な決定	That was a logical decision under the circumstances.	We need to make a logical decision.	logical: 論理的な。decision: 決定
promote local commerce	prəˈmoʊt ˈloʊkəl ˈkɑmərs	地元の商業を促進する	The event will promote local commerce.	The mayor is trying to promote local commerce.	promote: 促進する。commerce: 商業
the legal profession	ðə ˈligəl prəˈfɛʃən	法律の専門職（法曹界）	He wants to enter the legal profession.	She has a successful career in the legal profession.	legal: 法律の。profession: 専門職、職業
take a big risk	teɪk ə bɪg rɪsk	大きなリスクを冒す	Sometimes you have to take a big risk in business.	He took a big risk by starting his own company.	take a risk: リスクを冒す、危険を冒す
provide false information	prəˈvaɪd fɔls ˌɪnfərˈmeɪʃən	誤った情報を提供する	It is illegal to provide false information.	The website provided false information.	provide: 提供する。false: 誤った、偽の
severe damage	səˈvɪr ˈdæmɪdʒ	深刻な（ひどい）ダメージ	The storm caused severe damage to the crops.	The earthquake resulted in severe damage.	severe: 深刻な、厳しい
up in the air	ʌp ɪn ði ɛr	未定で、宙に浮いて	Our plans for the summer are still up in the air.	The project is up in the air due to budget cuts.	未定であることを表すイディオム。
offer some advice	ˈɔfər sʌm ædˈvaɪs	いくつかアドバイスを提供する	Let me offer some advice to you.	He offered some useful advice.	adviceは不可算名詞なので a advice とは言わない。
from a different angle	frʌm ə ˈdɪfərənt ˈæŋgəl	違う角度（視点）から	Let's look at the problem from a different angle.	He approached the issue from a different angle.	angle: 角度、視点
sign a formal contract	saɪn ə ˈfɔrməl ˈkɑntrækt	正式な契約に署名する	We will sign a formal contract tomorrow.	They signed a formal contract with the supplier.	sign: 署名する。formal: 正式な。contract: 契約
deserve a pay raise	dɪˈzɜrv ə peɪ reɪz	昇給に値する	You worked hard and deserve a pay raise.	She definitely deserves a pay raise.	deserve: 〜に値する。pay raise: 昇給
hesitate to resign	ˈhɛzəˌteɪt tu rɪˈzaɪn	辞職（辞任）するのをためらう	He seems to hesitate to resign.	I didn't hesitate to resign from the bad job.	hesitate to do: 〜するのをためらう。resign: 辞職する
answer the phone	ˈænsər ðə foʊn	電話に出る	Could you answer the phone, please?	He didn't answer the phone.	「電話に出る」の決まり文句。
hang up the phone	hæŋ ʌp ðə foʊn	電話を切る	Don't hang up the phone yet.	She angrily hung up the phone.	hang up: （電話を）切る。昔の電話を壁に「掛けて」切った名残。
transfer a call	ˈtrænsfər ə kɔl	電話を転送する	Please wait while I transfer a call.	The receptionist transferred a call to the manager.	transfer: 移す、転送する
make a copy	meɪk ə ˈkɑpi	コピーをとる	I need to make a copy of this document.	Can you make a copy for me?	copy: コピー、写し
staple these documents	ˈsteɪpəl ðiz ˈdɑkjəmənts	これらの書類をホッチキスで留める	Please staple these documents together.	I forgot to staple these documents.	staple: ホッチキスで留める（動詞）。ホッチキスは和製英語。
work indoors	wɜrk ˈɪnˈdɔrz	屋内で働く	I prefer to work indoors during winter.	She works indoors at a desk.	indoors: 屋内で（副詞）。反対語は outdoors（屋外で）。
an efficient secretary	ən ɪˈfɪʃənt ˈsɛkrəˌtɛri	有能な（効率的な）秘書	She is an efficient secretary.	We are looking for an efficient secretary.	efficient: 効率のよい、有能な。secretary: 秘書
inquire about a job	ɪnˈkwaɪər əˈbaʊt ə dʒɑb	仕事について問い合わせる	I called to inquire about a job.	She inquired about a job opening.	inquire about: 〜について尋ねる、問い合わせる
knock on a door	nɑk ɑn ə dɔr	ドアをノックする	Remember to knock on a door before entering.	Someone knocked on a door.	knock on: 〜をノックする
fold a sheet of paper	foʊld ə ʃit ʌv ˈpeɪpər	1枚の紙を折る	Fold a sheet of paper in half.	He carefully folded a sheet of paper.	fold: 折る、折りたたむ。a sheet of: 1枚の〜
show an ID card	ʃoʊ ən aɪ-di kɑrd	身分証明書を見せる	You need to show an ID card at the entrance.	Please show an ID card to the guard.	ID (identification): 身分証明
play an important role	pleɪ ən ɪmˈpɔrtənt roʊl	重要な役割を果たす	Education will play an important role in your life.	He played an important role in the project.	play a role: 役割を果たす
be busy printing copies	bi ˈbɪzi ˈprɪntɪŋ ˈkɑpiz	コピーの印刷で忙しい	I happen to be busy printing copies now.	She was busy printing copies all morning.	be busy -ing: 〜するのに忙しい
insure the contents of a package	ɪnˈʃʊr ðə ˈkɑntɛnts ʌv ə ˈpækɪdʒ	小包の中身に保険をかける	You should insure the contents of a package.	They insured the contents of a package for $500.	insure: 保険をかける。contents: 中身
put stamps on an envelope	pʊt stæmps ɑn ən ˈɛnvəˌloʊp	封筒に切手を貼る	Don't forget to put stamps on an envelope.	She put stamps on an envelope and mailed it.	stamp: 切手。envelope: 封筒
respond to an email	rɪˈspɑnd tu ən iˈmeɪl	メールに返信する	I need time to respond to an email.	He responded to an email immediately.	respond to: 〜に返答する
deliver a message	dɪˈlɪvər ə ˈmɛsɪdʒ	伝言（メッセージ）を伝える	Please deliver a message to your boss.	The postman delivered a message.	deliver: 配達する、伝える
omit the details	oʊˈmɪt ðə dɪˈteɪlz	詳細を省く	We can omit the details for now.	He omitted the details from his report.	omit: 省く、省略する
absence from work	ˈæbsəns frʌm wɜrk	仕事を休むこと（欠勤）	His frequent absence from work is a problem.	Please explain your absence from work.	absence: 不在、欠席。反対語は presence。
be familiar with equipment	bi fəˈmɪljər wɪð ɪˈkwɪpmənt	機器の扱いに慣れている（精通している）	You must be familiar with equipment before using it.	She is familiar with all the office equipment.	be familiar with: 〜に精通している、よく知っている
Out of Order	aʊt ʌv ˈɔrdər	故障中	This elevator is currently Out of Order.	The vending machine is Out of Order.	orderには「正常な状態」という意味があり、そこから外れている＝故障中。
put on a narrow shelf	pʊt ɑn ə ˈnɛroʊ ʃɛlf	狭い棚に置く	Put the books on a narrow shelf.	He put the box on a narrow shelf.	narrow: 狭い。shelf: 棚（複数形は shelves）
discuss a possible idea	dɪˈskʌs ə ˈpɑsəbəl aɪˈdiə	実現可能なアイデアについて話し合う	Let's discuss a possible idea for the event.	They discussed a possible idea to save money.	discuss は他動詞なので about は不要。
as clear as a bell	æz klɪr æz ə bɛl	（鐘の音のように）非常に澄み切って、明瞭に	His voice was as clear as a bell.	The instructions were as clear as a bell.	「とてもはっきりと（澄んで）」を意味するイディオム。
reply to a question	rɪˈplaɪ tu ə ˈkwɛstʃən	質問に答える	He didn't reply to a question.	Please reply to a question directly.	reply to: 〜に返答する
show samples of a product	ʃoʊ ˈsæmpəlz ʌv ə ˈprɑdəkt	製品のサンプルを見せる	The salesman will show samples of a product.	I asked them to show samples of a product.	sample: 見本、サンプル
require many skills	rɪˈkwaɪər ˈmɛni skɪlz	多くのスキルを必要とする	This job will require many skills.	Teaching will require many skills.	require: 必要とする、要求する
work overtime	wɜrk ˈoʊvərˌtaɪm	残業する	I have to work overtime tonight.	He gets paid extra when he works overtime.	overtime: 時間外に（副詞）
answer the telephone	ˈænsər ðə ˈtɛləˌfoʊn	電話に出る	Will someone answer the telephone?	She answered the telephone quickly.	352番の phone と同じ意味。
attend a meeting	əˈtɛnd ə ˈmitɪŋ	会議に出席する	I have to attend a meeting at 2 p.m.	He didn't attend a meeting yesterday.	attend は他動詞なので to は不要。
pay back a loan	peɪ bæk ə loʊn	ローンを返済する	It takes years to pay back a loan.	He paid back a loan fully.	115番の重複（再登場）。
pay for a crime	peɪ fɔr ə kraɪm	犯罪の償いをする（罰を受ける）	He must pay for a crime he committed.	The thief will pay for a crime.	pay for: 〜の代金を払う、〜の報いを受ける
The gamble paid off	ðə ˈgæmbəl peɪd ɔff	その賭けはうまくいった（報われた）	The gamble paid off in the end.	His hard work finally paid off.	pay off: （努力などが）報われる、成果を上げる
have to pay up	hæv tu peɪ ʌp	全額支払わなければならない	If you lose, you have to pay up.	He had to pay up his debts.	pay up: （渋々）全額支払う
work on a report	wɜrk ɑn ə rɪˈpɔrt	レポートに取り組む（作成する）	I need to work on a report today.	She is working on a report for tomorrow.	work on: 〜に取り組む
work off my frustrations	wɜrk ɔf maɪ frəˈstreɪʃənz	イライラ（欲求不満）を解消する	I exercise to work off my frustrations.	He worked off his frustrations by running.	work off: （運動などでストレスなどを）発散する
work up courage to propose	wɜrk ʌp ˈkɜrɪdʒ tu prəˈpoʊz	プロポーズする勇気を奮い起こす	He had to work up courage to propose.	I worked up courage to speak to her.	work up: （感情などを）奮い起こす。courage: 勇気
work out a good plan	wɜrk aʊt ə gʊd plæn	良い計画を練り上げる	We need to work out a good plan.	They finally worked out a good plan.	work out: 練り上げる、解決する
throw away old magazines	θroʊ əˈweɪ oʊld ˈmægəˌzinz	古い雑誌を捨てる	It's time to throw away old magazines.	I threw away old magazines yesterday.	throw away: 捨てる
throw off my coat	θroʊ ɔf maɪ koʊt	コートを脱ぎ捨てる	He threw off my coat and sat down.	She threw off her heavy coat.	throw off: （服などを急いで）脱ぐ、脱ぎ捨てる
throw out the trash	θroʊ aʊt ðə træʃ	ゴミを捨てる	Please throw out the trash on your way out.	He threw out the trash this morning.	throw out: 捨てる（throw awayと同義）。trash: ゴミ
get sick and throw up	gɛt sɪk ænd θroʊ ʌp	気分が悪くなって吐く	I ate too much, got sick and threw up.	The dog got sick and threw up.	throw up: 吐く、嘔吐する（vomitの口語表現）。
Buddhism	ˈbudɪzəm	仏教	Buddhism is widely practiced in Asia.	He studies Buddhism.	スペルにhが入る点に注意（Buddhism）。
practice Zen meditation	ˈpræktɪs zɛn ˌmɛdəˈteɪʃən	座禅（禅の瞑想）を行う	I practice Zen meditation every morning.	She likes to practice Zen meditation to relax.	practice: 実践する、練習する。meditation: 瞑想
Muslim	ˈmʌzləm	イスラム教徒、イスラム教の	He is a devout Muslim.	Muslim traditions are very rich.	イスラム教の信仰を持つ人。
baptism	ˈbæptɪzəm	洗礼（式）	The baby's baptism is next Sunday.	He received baptism in the river.	キリスト教の入信儀式。
holy water	ˈhoʊli ˈwɔtər	聖水	The priest used holy water for the blessing.	She dipped her fingers in holy water.	holy: 神聖な
the religious origin of a holiday	ðə rɪˈlɪdʒəs ˈɔrədʒən ʌv ə ˈhɑləˌdeɪ	休日の宗教的な起源	Do you know the religious origin of a holiday?	Christmas has a religious origin.	religious: 宗教の。origin: 起源
a Catholic priest	ə ˈkæθəlɪk prist	カトリックの司祭（神父）	He spoke with a Catholic priest.	A Catholic priest led the mass.	priest: 司祭、聖職者
kneel down and pray	nil daʊn ænd preɪ	ひざまずいて祈る	They would kneel down and pray.	She knelt down and prayed for peace.	kneel: ひざまずく（過去形 knelt）。pray: 祈る
a huge temple	ə hjudʒ ˈtɛmpəl	巨大な寺院（神殿）	We visited a huge temple in Kyoto.	The ancient Greeks built a huge temple.	huge: 巨大な。temple: 寺院
a religious ceremony	ə rɪˈlɪdʒəs ˈsɛrəˌmoʊni	宗教的な儀式	We attended a religious ceremony.	The wedding was a traditional religious ceremony.	ceremony: 儀式、式典
preach to a crowd	pritʃ tu ə kraʊd	群衆に説教する（伝道する）	The minister began to preach to a crowd.	He used to preach to a crowd in the square.	preach: 説教する。crowd: 群衆
a sacred painting	ə ˈseɪkrəd ˈpeɪntɪŋ	神聖な絵画（宗教画）	This church has a sacred painting.	We saw a sacred painting in the museum.	sacred: 神聖な（holyと似た意味）。
worship in a Shinto shrine	ˈwɜrʃɪp ɪn ə ˈʃɪntoʊ ʃraɪn	神社で礼拝する（お参りする）	Many Japanese worship in a Shinto shrine.	They went to worship in a Shinto shrine on New Year's.	worship: 崇拝する、お参りする。shrine: 神社、祠
pay consumption tax	peɪ kənˈsʌmpʃən tæks	消費税を払う	We must pay consumption tax on this item.	The price includes consumption tax.	135番の重複（再登場）。
go to the polls	goʊ tu ðə poʊlz	投票に行く	We should all go to the polls on election day.	Millions went to the polls yesterday.	poll: 投票（所）、世論調査
decide by majority	dɪˈsaɪd baɪ məˈdʒɔrəti	多数決で決める	Let's decide by majority.	The committee decided the rule by majority.	majority: 過半数、多数派
a member of the Diet	ə ˈmɛmbər ʌv ðə ˈdaɪət	国会議員（日本の）	He was elected as a member of the Diet.	A member of the Diet gave a speech.	the Diet: （日本などの）国会。
the Prime Minister	ðə praɪm ˈmɪnəstər	総理大臣、首相	The Prime Minister announced a new policy.	Who is the current Prime Minister?	prime: 主要な。minister: 大臣
govern a country	ˈgʌvərn ə ˈkʌntri	国を統治する	It is difficult to govern a country.	The king governed a country strictly.	govern: 統治する、治める。名詞形が government（政府）。
represent the citizens	ˌrɛprɪˈzɛnt ðə ˈsɪtəzənz	市民を代表する	Politicians must represent the citizens.	He was chosen to represent the citizens.	represent: 代表する。citizen: 市民
a rival in an election	ə ˈraɪvəl ɪn ən ɪˈlɛkʃən	選挙のライバル（競争相手）	He defeated a rival in an election.	She shook hands with a rival in an election.	rival: 競争相手。election: 選挙
the finance committee	ðə ˈfaɪnæns kəˈmɪti	財務委員会	He is a member of the finance committee.	The finance committee approved the budget.	finance: 財務、財政。committee: 委員会
king and queen	kɪŋ ænd kwin	国王と女王（王妃）	The king and queen waved to the people.	They lived like a king and queen.	
the royal palace	ðə ˈrɔɪəl ˈpæləs	王宮	We toured the royal palace.	The royal palace is open to the public.	royal: 王室の。
wear a gold crown	wɛr ə goʊld kraʊn	金の王冠をかぶる	The king would wear a gold crown.	She was forced to wear a gold crown.	crown: 王冠
unity of the people	ˈjunəti ʌv ðə ˈpipəl	国民の結束（団結）	The president called for unity of the people.	National unity of the people is important.	unity: 結束、統一（uniteの名詞形）。
loyal to the government	ˈlɔɪəl tu ðə ˈgʌvərmənt	政府に忠実である	The army remained loyal to the government.	He was a loyal supporter of the team.	loyal: 忠実な、義理堅い
sing patriotic songs	sɪŋ ˌpeɪtriˈɑtɪk sɔŋz	愛国的な歌を歌う	The children learned to sing patriotic songs.	They sing patriotic songs on Independence Day.	patriotic: 愛国的な
obey an order	oʊˈbeɪ ən ˈɔrdər	命令に従う	Soldiers must obey an order.	He refused to obey an order.	obey: 従う。order: 命令
elect a new president	ɪˈlɛkt ə nu ˈprɛzədənt	新しい大統領（社長）を選挙で選ぶ	We will elect a new president next month.	They elected a new president unanimously.	elect: 選挙で選ぶ
confuse an issue	kənˈfjuz ən ˈɪʃu	問題を混乱させる（論点をぼかす）	Don't try to confuse an issue.	His speech only confused an issue.	confuse: 混乱させる。issue: 問題、論点
the chief of a tribe	ðə tʃif ʌv ə traɪb	部族の長（酋長）	He is the chief of a tribe.	The chief of a tribe made a wise decision.	chief: 長、リーダー。tribe: 部族
a national flag	ə ˈnæʃənəl flæg	国旗	They raised a national flag at the ceremony.	Every country has a national flag.	national: 国の、国家の
the latter option	ðə ˈlætər ˈɑpʃən	後者の選択肢	I would prefer the latter option.	Between the two, the latter option is better.	latter: 後者の（the former: 前者の）。option: 選択肢
achieve equal rights	əˈtʃiv ˈikwəl raɪts	平等な権利を獲得する（達成する）	They fought hard to achieve equal rights.	Women campaigned to achieve equal rights.	achieve: 達成する、獲得する。equal: 平等な
make a bold suggestion	meɪk ə boʊld səgˈdʒɛstʃən	大胆な提案をする	He decided to make a bold suggestion.	She made a bold suggestion at the meeting.	bold: 大胆な、勇敢な。suggestion: 提案
liberty and equality	ˈlɪbərti ænd ɪˈkwɑləti	自由と平等	The revolution was for liberty and equality.	They value liberty and equality above all.	liberty: （束縛からの）自由。equality: 平等
the Roman Empire	ðə ˈroʊmən ˈɛmpaɪər	ローマ帝国	The Roman Empire was vast and powerful.	He studies the history of the Roman Empire.	empire: 帝国。emperor: 皇帝
conquer another country	ˈkɑŋkər əˈnʌðər ˈkʌntri	他国を征服する	The king wanted to conquer another country.	It is wrong to conquer another country by force.	conquer: 征服する、打ち勝つ
deceive the public	dɪˈsiv ðə ˈpʌblɪk	大衆を欺く（だます）	The politician tried to deceive the public.	You cannot deceive the public forever.	deceive: 欺く、だます
protect the borders	prəˈtɛkt ðə ˈbɔrdərz	国境を守る	The army's job is to protect the borders.	They built a wall to protect the borders.	border: 国境、境界
a natural boundary	ə ˈnætʃərəl ˈbaʊndəri	自然の境界（線）	The river forms a natural boundary between the two states.	Mountains serve as a natural boundary.	boundary: 境界、限界
Keep at it !	kip æt ɪt	頑張り続けなさい！	Learning English takes time. Keep at it!	Keep at it, and you will succeed.	keep at: 根気よく続ける
keep away from him	kip əˈweɪ frʌm hɪm	彼に近づかない（距離を置く）	You should keep away from him.	Keep away from the fire.	keep away from: 〜から離れている
keep from laughing	kip frʌm ˈlæfɪŋ	笑うのをこらえる	I couldn't keep from laughing.	He tried to keep from crying.	keep from -ing: 〜するのを控える、こらえる
keep off the rain	kip ɔf ðə reɪn	雨をしのぐ、防ぐ	This coat will keep off the rain.	Use the umbrella to keep off the rain.	keep off: （雨・雪など）を防ぐ、〜を近づけない
keep on taking photographs	kip ɑn ˈteɪkɪŋ ˈfoʊtəˌgræfs	写真を撮り続ける	He would keep on taking photographs all day.	Keep on trying.	keep on -ing: 〜し続ける
Keep up the good work !	kip ʌp ðə gʊd wɜrk	その調子で頑張って！	You are doing great. Keep up the good work!	Keep up the good work, team.	相手を褒めつつ、そのまま続けるよう励ます定番フレーズ。
aging population and lower birthrate	ˈeɪdʒɪŋ ˌpɑpjəˈleɪʃən ænd ˈloʊər ˈbɜrθˌreɪt	少子高齢化	Japan faces an aging population and lower birthrate.	The government is tackling the aging population and lower birthrate.	aging: 高齢化する。birthrate: 出生率。「少子高齢化」の定番表現。
citizen judge system	ˈsɪtəzən dʒʌdʒ ˈsɪstəm	裁判員制度	The citizen judge system was introduced in Japan.	He was chosen for the citizen judge system.	citizen: 市民。judge: 裁判官、裁く
increase the consumption tax	ɪnˈkris ðə kənˈsʌmpʃən tæks	消費税を引き上げる	The government plans to increase the consumption tax.	They opposed the plan to increase the consumption tax.	increase: 増やす、引き上げる。consumption tax: 消費税
join the civil service	dʒɔɪn ðə ˈsɪvəl ˈsɜrvəs	公務員になる	She wants to join the civil service after graduation.	He joined the civil service ten years ago.	civil service: 行政事務、公務。civil servant で「公務員」。
temp	tɛmp	派遣社員、臨時職員	She is working as a temp at the office.	The company hired a temp for the project.	temporary worker の略語。動詞で「臨時で働く」という意味もある。
a bit of news	ə bɪt ʌv nuz	ちょっとしたニュース（知らせ）	I have a bit of news for you.	He shared a bit of news with us.	newsは不可算名詞なので a news ではなく a bit of (a piece of) を使う。
a generation gap	ə ˌdʒɛnəˈreɪʃən gæp	世代間のギャップ	There is a generation gap between us.	The generation gap causes misunderstandings.	generation: 世代。gap: 隙間、隔たり
a nuisance to the neighborhood	ə ˈnusəns tu ðə ˈneɪbərˌhʊd	近所の迷惑	Loud music is a nuisance to the neighborhood.	His behavior became a nuisance to the neighborhood.	nuisance: 迷惑、厄介者。neighborhood: 近所、地域
put someone in prison	pʊt ˈsʌmˌwʌn ɪn ˈprɪzən	（人）を刑務所に入れる	The judge will put someone in prison for the crime.	He was put in prison for five years.	prison: 刑務所。jail より長期間の収監を指すことが多い。
rob a bank	rɑb ə bæŋk	銀行を強盗する	They planned to rob a bank.	He was arrested trying to rob a bank.	rob: （人や場所から）力ずくで奪う、強盗する
steal a car	stil ə kɑr	車を盗む	Someone tried to steal a car last night.	He stole a car and ran away.	steal: （物を）こっそり盗む（過去形 stole、過去分詞 stolen）。
punish the thief	ˈpʌnɪʃ ðə θif	泥棒を罰する	The law will punish the thief.	They punished the thief severely.	punish: 罰する。thief: 泥棒
police made an arrest	pəˈlis meɪd ən əˈrɛst	警察が逮捕した	The police made an arrest quickly.	Finally, the police made an arrest in the case.	make an arrest: 逮捕する。arrest: 逮捕
threaten with violence	ˈθrɛtən wɪð ˈvaɪələns	暴力で脅す	He tried to threaten with violence.	The robbers threatened the staff with violence.	threaten: 脅す。violence: 暴力
curse my bad luck	kɜrs maɪ bæd lʌk	自分の不運を呪う	I couldn't help but curse my bad luck.	He cursed his bad luck when he lost his wallet.	curse: 呪う、悪態をつく。
hold a trial	hoʊld ə ˈtraɪəl	裁判を開く	The court will hold a trial next month.	They held a trial for the suspect.	trial: 裁判、試み
defend against an attack	dɪˈfɛnd əˈgɛnst ən əˈtæk	攻撃から守る（防衛する）	The army must defend against an attack.	They built a wall to defend against an attack.	defend: 守る、防衛する。attack: 攻撃
show mercy to an enemy	ʃoʊ ˈmɜrsi tu ən ˈɛnəmi	敵に情け（慈悲）をかける	He decided to show mercy to an enemy.	The king showed no mercy to an enemy.	mercy: 慈悲、情け。enemy: 敵
solve a murder case	sɑlv ə ˈmɜrdər keɪs	殺人事件を解決する	The detective managed to solve a murder case.	It took years to solve the murder case.	solve: 解決する。murder: 殺人
take revenge on a rival	teɪk rɪˈvɛndʒ ɑn ə ˈraɪvəl	ライバルに復讐する	He swore to take revenge on a rival.	Taking revenge on a rival won't make you happy.	take revenge on: 〜に復讐する
a cruel selfish man	ə krul ˈsɛlfɪʃ mæn	残酷で利己的な男	He is known as a cruel selfish man.	The story is about a cruel selfish man.	cruel: 残酷な。selfish: わがままな、利己的な
use a stick as a weapon	juz ə stɪk æz ə ˈwɛpən	棒を武器として使う	He had to use a stick as a weapon.	She used a stick as a weapon to defend herself.	stick: 棒、杖。weapon: 武器
shoot someone with a gun	ʃut ˈsʌmˌwʌn wɪð ə gʌn	銃で（人）を撃つ	It is a crime to shoot someone with a gun.	He accidentally shot someone with a gun.	shoot: 撃つ（過去形・過去分詞 shot）。
feel guilty about something	fil ˈgɪlti əˈbaʊt ˈsʌmθɪŋ	（何かについて）罪悪感を感じる	I still feel guilty about something I said.	She felt guilty about leaving early.	guilty: 有罪の、罪悪感のある
confess to a crime	kənˈfɛs tu ə kraɪm	犯罪を自白する	He finally decided to confess to a crime.	The suspect confessed to the crime.	confess to: 〜を自白する、認める
blame him for her own mistakes	bleɪm hɪm fɔr hɜr oʊn mɪsˈteɪks	自分のミスのことで彼を責める	She tried to blame him for her own mistakes.	Don't blame him for her own mistakes.	blame A for B: BのことでAを責める（Bの責任をAに押し付ける）
witness a fight	ˈwɪtnəs ə faɪt	喧嘩（争い）を目撃する	Did anyone witness a fight?	I happened to witness a fight on the street.	witness: 目撃する、証人
a false accusation	ə fɔls ˌækjəˈzeɪʃən	冤罪、不当な非難（告発）	He suffered from a false accusation.	A false accusation ruined his career.	false: 誤った、嘘の。accusation: 告発、非難
the gay community	ðə geɪ kəˈmjunəti	同性愛者のコミュニティ	He is an active member of the gay community.	The parade was supported by the gay community.	community: 地域社会、共同体
be prejudiced against fast-food restaurants	bi ˈprɛdʒədɪst əˈgɛnst fæst-fud ˈrɛstəˌrɑnts	ファーストフード店に対して偏見を持っている	Some people are prejudiced against fast-food restaurants.	Don't be prejudiced against fast-food restaurants.	be prejudiced against: 〜に対して偏見を持っている
hate to work late	heɪt tu wɜrk leɪt	遅くまで働く（残業する）のを嫌がる	I really hate to work late on Fridays.	She hates to work late.	hate to do: 〜するのをひどく嫌う
the invention of the Internet	ði ɪnˈvɛnʃən ʌv ði ˈɪntərˌnɛt	インターネットの発明	The invention of the Internet changed the world.	We discussed the invention of the Internet.	invention: 発明（inventの名詞形）。
a lonely old man	ə ˈloʊnli oʊld mæn	孤独な老人	He lived as a lonely old man.	A lonely old man sat on the bench.	lonely: 孤独な、寂しい
have a headache	hæv ə ˈhɛdˌeɪk	頭痛がする	I have a headache today.	She couldn't study because she had a headache.	headache: 頭痛 (-ache は痛みの意味)
have a sore back	hæv ə sɔr bæk	背中（腰）が痛い	I have a sore back from lifting heavy boxes.	He has a sore back.	sore: （触ると）痛い、ヒリヒリする。back: 背中、腰
apply a plaster	əˈplaɪ ə ˈplæstər	絆創膏（湿布）を貼る	Wash the cut and apply a plaster.	She applied a plaster to her injured finger.	apply: 適用する、塗る、貼る。plaster: 絆創膏、しっくい
take an X-ray	teɪk ən ˈɛksˌreɪ	レントゲン（X線）を撮る	The doctor will take an X-ray of your chest.	I need to take an X-ray.	X-ray: レントゲン写真
be hospitalized	bi ˈhɑspɪtəˌlaɪzd	入院する	He had to be hospitalized for a week.	She was hospitalized after the accident.	hospitalize: 入院させる
I feel sick.	aɪ fil sɪk	気分が悪い、吐き気がする	I feel sick. I need to rest.	He felt sick after eating that.	sick: 病気の、吐き気がする
seldom catch a cold	ˈsɛldəm kætʃ ə koʊld	めったに風邪をひかない	I eat well and seldom catch a cold.	He seldom catches a cold.	seldom: めったに〜ない（否定的な副詞）。catch a cold: 風邪をひく
neglect my health	nəˈglɛkt maɪ hɛlθ	自分の健康を軽視する（おろそかにする）	I shouldn't neglect my health.	He neglected his health by working too much.	neglect: 怠る、無視する
have red sore flesh	hæv rɛd sɔr flɛʃ	赤くただれた（痛む）肉（肌）がある	The burn left him with red sore flesh.	She had red sore flesh from the infection.	flesh: （人間や動物の）肉、果肉。meatは食用の肉。
